[6R] BF6 =

 X       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   9.7757182674370535E-01    1     1 0  0 0  0 0
     2   1.4887692952891407E+00    1     0 1  0 0  0 0
     3   1.0800730244456986E-02    1     0 0  0 0  0 1
     4  -1.4808334565892371E-04    2     2 0  0 0  0 0
     5   4.7771094914648834E-03    2     1 1  0 0  0 0
     6   1.7981682978490594E-03    2     0 2  0 0  0 0
     7  -7.6152573439776904E-05    2     0 0  2 0  0 0
     8  -5.1513523162239217E-03    2     0 0  1 1  0 0
     9  -5.6745609790812114E-03    2     0 0  0 2  0 0
    10   6.4632134186419749E-02    2     1 0  0 0  0 1
    11  -4.2716399333603849E+00    2     0 1  0 0  0 1
    12  -4.4852447609484092E-02    2     0 0  0 0  0 2

 PX      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -2.9791938682051152E-02    1     1 0  0 0  0 0
     2   9.7757182674370569E-01    1     0 1  0 0  0 0
     3   1.4346897069467384E-02    1     0 0  0 0  0 1
     4  -9.7768064406641102E-05    2     2 0  0 0  0 0
     5  -1.4720486040511644E-04    2     1 1  0 0  0 0
     6  -2.5554457642249454E-03    2     0 2  0 0  0 0
     7  -2.7755151145588994E-08    2     0 0  2 0  0 0
     8  -2.4811861024559611E-10    2     0 0  1 1  0 0
     9  -2.4812817672085329E-03    2     0 0  0 2  0 0
    10  -6.4849175876666284E-04    2     1 0  0 0  0 1
    11   6.4560398671715799E-02    2     0 1  0 0  0 1
    12  -1.7945340186222545E-02    2     0 0  0 0  0 2

 Y       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.0225844861144608E+00    1     0 0  1 0  0 0
     2   1.5112750821555643E+00    1     0 0  0 1  0 0
     3   1.4999566522423796E-04    2     1 0  1 0  0 0
     4  -4.9246601786196512E-03    2     0 1  1 0  0 0
     5   5.0746401066747975E-03    2     1 0  0 1  0 0
     6   3.8203256505261653E-03    2     0 1  0 1  0 0
     7  -6.5536295157681529E-02    2     0 0  1 0  0 1
     8  -4.4017838528223034E+00    2     0 0  0 1  0 1

 PY      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   3.0225490899262863E-02    1     0 0  1 0  0 0
     2   1.0225844861144604E+00    1     0 0  0 1  0 0
     3  -5.6756474435746261E-08    2     1 0  1 0  0 0
     4  -4.2727801482719818E-08    2     0 1  1 0  0 0
     5  -8.3637614415021369E-08    2     1 0  0 1  0 0
     6   5.0375179877176716E-03    2     0 1  0 1  0 0
     7  -6.0400235492034232E-04    2     0 0  1 0  0 1
     8  -6.5464021502278841E-02    2     0 0  0 1  0 1

 T       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -1.4346897069461816E-02    1     1 0  0 0  0 0
     2  -1.0800730244463498E-02    1     0 1  0 0  0 0
     3   1.0000000000000000E+00    1     0 0  0 0  1 0
     4   1.1036985572102784E+01    1     0 0  0 0  0 1
     5  -6.4471608263537352E-04    2     2 0  0 0  0 0
     6   6.4077881483510998E-02    2     1 1  0 0  0 0
     7  -2.1360285948561106E+00    2     0 2  0 0  0 0
     8  -6.8051937421406759E-04    2     0 0  2 0  0 0
     9  -6.6029679078339384E-02    2     0 0  1 1  0 0
    10  -2.2010762546383154E+00    2     0 0  0 2  0 0
    11   3.6823925951490033E-02    2     1 0  0 0  0 1
    12   2.7722042530747643E-02    2     0 1  0 0  0 1
    13  -4.7862326981822889E+01    2     0 0  0 0  0 2

 PT      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.0000000000000000E+00    1     0 0  0 0  0 1
