[6R] BF4 =

 X       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   9.7757787091925030E-01    1     1 0  0 0  0 0
     2   1.4886897041135685E+00    1     0 1  0 0  0 0
     3   1.0799875809345993E-02    1     0 0  0 0  0 1
     4  -1.4788611727106792E-04    2     2 0  0 0  0 0
     5   4.7760253452521712E-03    2     1 1  0 0  0 0
     6   1.7976586061599804E-03    2     0 2  0 0  0 0
     7  -7.6142305346450345E-05    2     0 0  2 0  0 0
     8  -5.1504132654963631E-03    2     0 0  1 1  0 0
     9  -5.6726651583088586E-03    2     0 0  0 2  0 0
    10   6.4579650229526289E-02    2     1 0  0 0  0 1
    11  -4.2709664758940367E+00    2     0 1  0 0  0 1
    12  -4.4844025167977600E-02    2     0 0  0 0  0 2

 PX      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -2.9785593442649978E-02    1     1 0  0 0  0 0
     2   9.7757787091925041E-01    1     0 1  0 0  0 0
     3   1.4346572929350663E-02    1     0 0  0 0  0 1
     4  -9.7560236846004527E-05    2     2 0  0 0  0 0
     5  -1.4688364211518291E-04    2     1 1  0 0  0 0
     6  -2.5546248843962218E-03    2     0 2  0 0  0 0
     7  -5.3325547885109628E-08    2     0 0  2 0  0 0
     8  -1.6920895743458486E-08    2     0 0  1 1  0 0
     9  -2.4801128265127706E-03    2     0 0  0 2  0 0
    10  -6.8523549547597836E-04    2     1 0  0 0  0 1
    11   6.4507936330197288E-02    2     0 1  0 0  0 1
    12  -1.7943131308301496E-02    2     0 0  0 0  0 2

 Y       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.0225784742735702E+00    1     0 0  1 0  0 0
     2   1.5111839594714214E+00    1     0 0  0 1  0 0
     3   1.4987663565577299E-04    2     1 0  1 0  0 0
     4  -4.9238551902180240E-03    2     0 1  1 0  0 0
     5   5.0721944097373885E-03    2     1 0  0 1  0 0
     6   3.8182686538178684E-03    2     0 1  0 1  0 0
     7  -6.5484195372520287E-02    2     0 0  1 0  0 1
     8  -4.4009769106601828E+00    2     0 0  0 1  0 1

 PY      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   3.0219177328771905E-02    1     0 0  1 0  0 0
     2   1.0225784742735700E+00    1     0 0  0 1  0 0
     3  -1.0854777924365633E-07    2     1 0  1 0  0 0
     4  -8.1713071193104114E-08    2     0 1  1 0  0 0
     5  -1.4386648145521866E-07    2     1 0  0 1  0 0
     6   5.0365716779555798E-03    2     0 1  0 1  0 0
     7  -5.6754500396588776E-04    2     0 0  1 0  0 1
     8  -6.5411936275888483E-02    2     0 0  0 1  0 1

 T       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -1.4346572929350982E-02    1     1 0  0 0  0 0
     2  -1.0799875809312989E-02    1     0 1  0 0  0 0
     3   1.0000000000000000E+00    1     0 0  0 0  1 0
     4   1.1036985543324709E+01    1     0 0  0 0  0 1
     5  -6.2576805430494516E-04    2     2 0  0 0  0 0
     6   6.4081634082077066E-02    2     1 1  0 0  0 0
     7  -2.1356706873319680E+00    2     0 2  0 0  0 0
     8  -6.9816779875118832E-04    2     0 0  2 0  0 0
     9  -6.6031173090006640E-02    2     0 0  1 1  0 0
    10  -2.2006927944851267E+00    2     0 0  0 2  0 0
    11   3.6819130887938131E-02    2     1 0  0 0  0 1
    12   2.7716866108359984E-02    2     0 1  0 0  0 1
    13  -4.7862326600810682E+01    2     0 0  0 0  0 2

 PT      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.0000000000000000E+00    1     0 0  0 0  0 1
