[6R] QF8 =

 X       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   9.7757184210436432E-01    1     1 0  0 0  0 0
     2   1.4887690634840325E+00    1     0 1  0 0  0 0
     3   1.0800726852996077E-02    1     0 0  0 0  0 1
     4  -1.4808256836947649E-04    2     2 0  0 0  0 0
     5   4.7771028180807447E-03    2     1 1  0 0  0 0
     6   1.7981654919481966E-03    2     0 2  0 0  0 0
     7  -7.6152527022012957E-05    2     0 0  2 0  0 0
     8  -5.1513558002022767E-03    2     0 0  1 1  0 0
     9  -5.6745639808570662E-03    2     0 0  0 2  0 0
    10   6.4631956679627178E-02    2     1 0  0 0  0 1
    11  -4.2716372900621140E+00    2     0 1  0 0  0 1
    12  -4.4852404252381323E-02    2     0 0  0 0  0 2

 PX      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -2.9791923148163806E-02    1     1 0  0 0  0 0
     2   9.7757184210436421E-01    1     0 1  0 0  0 0
     3   1.4346894909785789E-02    1     0 0  0 0  0 1
     4  -9.7767255402683758E-05    2     2 0  0 0  0 0
     5  -1.4720361826185056E-04    2     1 1  0 0  0 0
     6  -2.5554413475263075E-03    2     0 2  0 0  0 0
     7  -2.7569797443557253E-08    2     0 0  2 0  0 0
     8  -2.4812817724748065E-03    2     0 0  0 2  0 0
     9  -6.4862609252034785E-04    2     1 0  0 0  0 1
    10   6.4560221288777545E-02    2     0 1  0 0  0 1
    11  -1.7945318954664270E-02    2     0 0  0 0  0 2

 Y       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.0225845016642530E+00    1     0 0  1 0  0 0
     2   1.5112753396374954E+00    1     0 0  0 1  0 0
     3   1.4999599813732739E-04    2     1 0  1 0  0 0
     4  -4.9246634595465251E-03    2     0 1  1 0  0 0
     5   5.0746405695894824E-03    2     1 0  0 1  0 0
     6   3.8203253745089992E-03    2     0 1  0 1  0 0
     7  -6.5536475260957558E-02    2     0 0  1 0  0 1
     8  -4.4017868671727669E+00    2     0 0  0 1  0 1

 PY      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   3.0225506792749886E-02    1     0 0  1 0  0 0
     2   1.0225845016642534E+00    1     0 0  0 1  0 0
     3  -5.6384895159581803E-08    2     1 0  1 0  0 0
     4  -4.2448059674009275E-08    2     0 1  1 0  0 0
     5  -8.3331109990559919E-08    2     1 0  0 1  0 0
     6   5.0375217315662092E-03    2     0 1  0 1  0 0
     7  -6.0414072333029895E-04    2     0 0  1 0  0 1
     8  -6.5464201566032471E-02    2     0 0  0 1  0 1

 T       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -1.4346894909785791E-02    1     1 0  0 0  0 0
     2  -1.0800726852996070E-02    1     0 1  0 0  0 0
     3   1.0000000000000000E+00    1     0 0  0 0  1 0
     4   1.1036985571786678E+01    1     0 0  0 0  0 1
     5  -6.4464727348082006E-04    2     2 0  0 0  0 0
     6   6.4077908912248557E-02    2     1 1  0 0  0 0
     7  -2.1360271960323889E+00    2     0 2  0 0  0 0
     8  -6.8045186430713280E-04    2     0 0  2 0  0 0
     9  -6.6029654958409650E-02    2     0 0  1 1  0 0
    10  -2.2010776855457319E+00    2     0 0  0 2  0 0
    11   3.6823882252766206E-02    2     1 0  0 0  0 1
    12   2.7722005101447927E-02    2     0 1  0 0  0 1
    13  -4.7862326976405669E+01    2     0 0  0 0  0 2

 PT      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.0000000000000000E+00    1     0 0  0 0  0 1
