[6R] QF8-QF6 =

 X       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.6995492469959461E-13    2     2 0  0 0  0 0
     2  -2.2132111247852304E-11    2     1 1  0 0  0 0
     3  -8.3308266968923350E-12    2     0 2  0 0  0 0
     4   5.4072198107935066E-14    2     0 0  0 2  0 0
     5  -1.6364687382974807E-13    2     1 0  0 0  0 1
     6   8.8537262501099584E-10    2     0 1  0 0  0 1
     7   4.3787889980606565E-13    2     0 0  0 0  0 2

 PX      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -2.1722890413550244E-13    2     2 0  0 0  0 0
     2  -3.2707154042424524E-13    2     1 1  0 0  0 0
     3   1.1070886395125878E-11    2     0 2  0 0  0 0
     4   7.1848776928007396E-14    2     0 0  0 2  0 0
     5   7.5677819154525150E-11    2     1 0  0 0  0 1
     6   1.5744350267965501E-13    2     0 1  0 0  0 1
     7  -3.5864429481780036E-11    2     0 0  0 0  0 2

 Y       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -1.4694495620304338E-13    2     1 0  0 1  0 0
     2  -1.1062591814825495E-13    2     0 1  0 1  0 0
     3  -1.0015410856230095E-09    2     0 0  0 1  0 1

 PY      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   8.8174018975963053E-11    2     0 0  1 0  0 1

 T       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -3.6992599847067431E-11    2     2 0  0 0  0 0
     2  -1.1251280462865054E-10    2     1 1  0 0  0 0
     3   8.6548932760845344E-10    2     0 2  0 0  0 0
     4  -4.5082663296946990E-11    2     0 0  2 0  0 0
     5  -1.3325318626300486E-10    2     0 0  1 1  0 0
     6  -1.0240735225271854E-09    2     0 0  0 2  0 0
     7   7.0913774852243705E-11    2     1 0  0 0  0 1
     8   5.3385761089597139E-11    2     0 1  0 0  0 1
     9  -5.2894707120304703E-13    2     0 0  0 0  0 2

 PT      :  R, NV =   6, MO =  2
 *******************************************************

         ALL COMPONENTS ZERO (EPS=1.0E-14)
