[6R] QF6 =

 X       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   9.7757184210436432E-01    1     1 0  0 0  0 0
     2   1.4887690634840318E+00    1     0 1  0 0  0 0
     3   1.0800726852996108E-02    1     0 0  0 0  0 1
     4  -1.4808256853943142E-04    2     2 0  0 0  0 0
     5   4.7771028402128560E-03    2     1 1  0 0  0 0
     6   1.7981655002790233E-03    2     0 2  0 0  0 0
     7  -7.6152527020931357E-05    2     0 0  2 0  0 0
     8  -5.1513558002022645E-03    2     0 0  1 1  0 0
     9  -5.6745639809111384E-03    2     0 0  0 2  0 0
    10   6.4631956679790825E-02    2     1 0  0 0  0 1
    11  -4.2716372938441047E+00    2     0 1  0 0  0 1
    12  -4.4852404252819202E-02    2     0 0  0 0  0 2

 PX      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -2.9791923148163799E-02    1     1 0  0 0  0 0
     2   9.7757184210436432E-01    1     0 1  0 0  0 0
     3   1.4346894909785787E-02    1     0 0  0 0  0 1
     4  -9.7767255185454854E-05    2     2 0  0 0  0 0
     5  -1.4720361793477902E-04    2     1 1  0 0  0 0
     6  -2.5554413585971939E-03    2     0 2  0 0  0 0
     7  -2.7569796006592963E-08    2     0 0  2 0  0 0
     8  -2.4812817725466552E-03    2     0 0  0 2  0 0
     9  -6.4862616819816700E-04    2     1 0  0 0  0 1
    10   6.4560221288620101E-02    2     0 1  0 0  0 1
    11  -1.7945318918799840E-02    2     0 0  0 0  0 2

 Y       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.0225845016642527E+00    1     0 0  1 0  0 0
     2   1.5112753396374923E+00    1     0 0  0 1  0 0
     3   1.4999599814167060E-04    2     1 0  1 0  0 0
     4  -4.9246634595432465E-03    2     0 1  1 0  0 0
     5   5.0746405697364274E-03    2     1 0  0 1  0 0
     6   3.8203253746196251E-03    2     0 1  0 1  0 0
     7  -6.5536475260959529E-02    2     0 0  1 0  0 1
     8  -4.4017868627641965E+00    2     0 0  0 1  0 1

 PY      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   3.0225506792749851E-02    1     0 0  1 0  0 0
     2   1.0225845016642527E+00    1     0 0  0 1  0 0
     3  -5.6384892220756946E-08    2     1 0  1 0  0 0
     4  -4.2448057460935801E-08    2     0 1  1 0  0 0
     5  -8.3331105647164701E-08    2     1 0  0 1  0 0
     6   5.0375217315694696E-03    2     0 1  0 1  0 0
     7  -6.0414081150431793E-04    2     0 0  1 0  0 1
     8  -6.5464201566034372E-02    2     0 0  0 1  0 1

 T       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -1.4346894909785786E-02    1     1 0  0 0  0 0
     2  -1.0800726852996108E-02    1     0 1  0 0  0 0
     3   1.0000000000000000E+00    1     0 0  0 0  1 0
     4   1.1036985571786671E+01    1     0 0  0 0  0 1
     5  -6.4464723648822021E-04    2     2 0  0 0  0 0
     6   6.4077909024761362E-02    2     1 1  0 0  0 0
     7  -2.1360271978810976E+00    2     0 2  0 0  0 0
     8  -6.8045181922446951E-04    2     0 0  2 0  0 0
     9  -6.6029654825156464E-02    2     0 0  1 1  0 0
    10  -2.2010776832916665E+00    2     0 0  0 2  0 0
    11   3.6823882181852431E-02    2     1 0  0 0  0 1
    12   2.7722005048062166E-02    2     0 1  0 0  0 1
    13  -4.7862326976380352E+01    2     0 0  0 0  0 2

 PT      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.0000000000000000E+00    1     0 0  0 0  0 1
