[6R] BF8-BF6 =

 X       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.5386599216959951E-08    1     1 0  0 0  0 0
     2  -1.5653900227844774E-07    1     0 1  0 0  0 0
     3  -3.3722275163267090E-09    1     0 0  0 0  0 1
     4   7.8267905801203061E-10    2     2 0  0 0  0 0
     5  -6.8081528374966394E-09    2     1 1  0 0  0 0
     6  -2.8582699809417966E-09    2     0 2  0 0  0 0
     7   4.7044864098094719E-11    2     0 0  2 0  0 0
     8  -3.4720639982901980E-09    2     0 0  1 1  0 0
     9  -2.9524453003942908E-09    2     0 0  0 2  0 0
    10  -1.7785839787065605E-07    2     1 0  0 0  0 1
    11   6.2300638490863403E-07    2     0 1  0 0  0 1
    12   4.3050330703064965E-08    2     0 0  0 0  0 2

 PX      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.5543033721199251E-08    1     1 0  0 0  0 0
     2   1.5386599327982253E-08    1     0 1  0 0  0 0
     3  -2.1219444396036735E-09    1     0 0  0 0  0 1
     4   8.1321864692262321E-10    2     2 0  0 0  0 0
     5   1.2486142147072245E-09    2     1 1  0 0  0 0
     6   4.4907191654522394E-09    2     0 2  0 0  0 0
     7   1.8590424090593257E-10    2     0 0  2 0  0 0
     8   2.5025539546050983E-10    2     0 0  1 1  0 0
     9   4.3058463045086981E-11    2     0 0  0 2  0 0
    10  -1.3440694805841747E-07    2     1 0  0 0  0 1
    11  -1.7773267964316108E-07    2     0 1  0 0  0 1
    12   2.0741773215648962E-08    2     0 0  0 0  0 2

 Y       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.5165781694903194E-08    1     0 0  1 0  0 0
     2   1.6934875377545119E-07    1     0 0  0 1  0 0
     3   3.3205182557011735E-10    2     1 0  1 0  0 0
     4  -3.2717986063468540E-09    2     0 1  1 0  0 0
     5   3.6710216637370063E-10    2     1 0  0 1  0 0
     6  -3.5151211498843371E-10    2     0 1  0 1  0 0
     7  -1.7948041035331652E-07    2     0 0  1 0  0 1
     8  -6.7952940278398315E-07    2     0 0  0 1  0 1

 PY      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.5868314162670316E-08    1     0 0  1 0  0 0
     2   1.5165781477762612E-08    1     0 0  0 1  0 0
     3   3.7264063945554975E-10    2     1 0  1 0  0 0
     4   2.8054089823772999E-10    2     0 1  1 0  0 0
     5   3.0598350017467003E-10    2     1 0  0 1  0 0
     6   3.7335803624097275E-09    2     0 1  0 1  0 0
     7  -1.3805994832115972E-07    2     0 0  1 0  0 1
     8  -1.7944083949283929E-07    2     0 0  0 1  0 1

 T       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   2.1219488006984921E-09    1     1 0  0 0  0 0
     2   3.3725738226436652E-09    1     0 1  0 0  0 0
     3  -2.7865678731082714E-11    1     0 0  0 0  0 1
     4   6.8850444308603438E-08    2     2 0  0 0  0 0
     5   2.7196676785634644E-08    2     1 1  0 0  0 0
     6   6.5909666952246417E-07    2     0 2  0 0  0 0
     7   6.7362418263122552E-08    2     0 0  2 0  0 0
     8   2.4292522257662874E-08    2     0 0  1 1  0 0
     9  -6.4489864970321547E-07    2     0 0  0 2  0 0
    10  -4.2720957438291407E-08    2     1 0  0 0  0 1
    11  -3.6717603582592240E-08    2     0 1  0 0  0 1
    12   1.0936838027795896E-10    2     0 0  0 0  0 2

 PT      :  R, NV =   6, MO =  2
 *******************************************************

         ALL COMPONENTS ZERO (EPS=1.0E-14)
